Id_Survey;Id_Survey_Pos;Station;Id_Station;Operation;Operation_Code;DateFull_mn;TimeStamp_mn;Latitude;Longitude;Bottom_Depth;Dist_Shore;Fishing_Depth_Upper;Fishing_Depth_Lower;Start_Latitude;Start_Longitude;End_Latitude;End_Longitude;Start_Time;End_Time;Fishing_Duration;Fishing_Distance;Cable_Length;Fishing_Speed;Horizontal_Opening;Vertical_Opening
Abracos_2;A2_300;1;A2_01;BotTrawl;A2_BotTrawl_01;09/04/2017 17:35;1491770100;-8.6764;-34.791033;45.8;27065.63;45;45;-8.6764;-34.79103333;-8.6782;-34.79893333;09/04/2017 17:35;09/04/2017 17:39;3360;2005.85;165;3.2;NaN;NaN
Abracos_2;A2_497;2;A2_02;MICRO;A2_MICRO_02;09/04/2017 22:05;1491786300;-8.867368;-34.728921;1469.63;41913.08;57;57;-8.857216;-34.7279585;-8.8777383;-34.7291547;09/04/2017 21:50;09/04/2017 22:20;1860;2363.36;145;3;NaN;NaN
Abracos_2;A2_1259;3;A2_03;BotTrawl;A2_BotTrawl_03;10/04/2017 10:47;1491832020;-9.391802;-35.386761;22.75;8414.39;23;23;-9.3888682;-35.384521;-9.3955525;-35.3895372;10/04/2017 10:43;10/04/2017 10:52;600;1027.44;77;3.3;NaN;NaN
Abracos_2;A2_1650;4;A2_04;BotTrawl;A2_BotTrawl_04;10/04/2017 17:18;1491855480;-9.207191;-35.069449;38.9;24133.79;44;44;-9.2084793;-35.0680097;-9.2058602;-35.0709472;10/04/2017 17:16;10/04/2017 17:20;300;556.22;140;3;12.4;2.9
Abracos_2;A2_1949;5;A2_05;MICRO;A2_MICRO_05;10/04/2017 22:17;1491873420;-9.170372;-34.755606;1777.62;51870.24;117;117;-9.1824963;-34.7582328;-9.1571422;-34.752794;10/04/2017 22:06;10/04/2017 22:29;1440;3000.56;270;3.3;11.6;NaN
Abracos_2;A2_2751;6;A2_06;MICRO;A2_MICRO_06;11/04/2017 11:39;1491921540;-8.882751;-34.602312;2460.59;55894.39;240;240;-8.8730058;-34.5993718;-8.8941498;-34.6052788;11/04/2017 11:24;11/04/2017 11:55;1920;2514.89;800;2.8;13;9.2
Abracos_2;A2_3025;7;A2_07;MICRO;A2_MICRO_07;11/04/2017 16:13;1491937980;-8.774475;-34.729306;1039.68;38853.13;98;98;-8.7744973;-34.7415617;-8.7745217;-34.7158428;11/04/2017 16:01;11/04/2017 16:26;1560;2976.35;312;3.4;11.5;7
Abracos_2;A2_4820;9;A2_09;MICRO;A2_MICRO_09;12/04/2017 22:08;1492045680;-8.688764;-34.740732;375.52;32887.1;95;95;-8.708182;-34.7446725;-8.6713242;-34.7294242;12/04/2017 21:51;12/04/2017 22:26;2160;4650.23;305;3.4;11.4;9.4
Abracos_2;A2_5621;12;A2_12;BotTrawl;A2_BotTrawl_12;13/04/2017 11:29;1492093740;-8.495732;-34.74451;44.9;25480.87;40;40;-8.4957842;-34.7426898;-8.4956998;-34.7474038;13/04/2017 11:27;13/04/2017 11:32;360;631.59;180;3.5;13;5.6
Abracos_2;A2_6056;13;A2_13;MICRO;A2_MICRO_13;13/04/2017 18:44;1492119840;-8.3175;-34.417066;1212.9;56956.14;440;440;-8.316672;-34.4284392;-8.3183082;-34.406345;13/04/2017 18:29;13/04/2017 18:59;1860;2544.46;981;3;13.3;8.3
Abracos_2;A2_6316;14;A2_14;BotTrawl;A2_BotTrawl_14;13/04/2017 23:04;1492135440;-8.324129;-34.664489;55.05;30785.18;53;53;-8.324005;-34.6654993;-8.3243547;-34.6624772;13/04/2017 23:03;13/04/2017 23:06;240;446.01;156;3.6;13;NaN
