Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Dasyscopelus obtusirostre;Dasy.obtu;FISH;1525495;Dasyscopelus obtusirostre;(Tåning, 1928);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Dasyscopelus;Species
Dasyscopelus selenops;Dasy.sele;FISH;1525496;Dasyscopelus selenops;(Tåning, 1928);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Myctophum;Species
Decapoda sp.;Deca.sp;CRUS;1130;Decapoda;Latreille, 1802;Animalia;Arthropoda;Malacostraca;Decapoda;NaN;NaN;Order
Decapterus punctatus;Deca.punc;FISH;126808;Decapterus punctatus;(Cuvier, 1829);Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Decapterus;Species
Decapterus tabl;Deca.tabl;FISH;159484;Decapterus tabl;Berry, 1968;Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Decapterus;Species
Derichthys serpentinus;Deri.serp;FISH;126291;Derichthys serpentinus;Gill, 1884;Animalia;Chordata;Teleostei;Anguilliformes;Derichthyidae;Derichthys;Species
Desmodema polystictum;Desm.poly;FISH;158922;Desmodema polystictum;(Ogilby, 1898);Animalia;Chordata;Teleostei;Lampriformes;Trachipteridae;Desmodema;Species
Diacria trispinosa;Diac.tris;MOLL;139045;Diacria trispinosa;(Blainville, 1821);Animalia;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;Diacria;Species
Diaphus bertelseni;Diap.bert;FISH;126588;Diaphus bertelseni;Nafpaktitis, 1966;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus brachycephalus;Diap.brac;FISH;126589;Diaphus brachycephalus;Tåning, 1928;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus dumerilii;Diap.dume;FISH;126590;Diaphus dumerilii;(Bleeker, 1856);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus fragilis;Diap.frag;FISH;158887;Diaphus fragilis;Tåning, 1928;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus garmani;Diap.garm;FISH;158888;Diaphus garmani;Gilbert, 1906;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus holti;Diap.holt;FISH;126592;Diaphus holti;Tåning, 1918;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus lucidus;Diap.luci;FISH;126593;Diaphus lucidus;(Goode & Bean, 1896);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus mollis;Diap.moll;FISH;126595;Diaphus mollis;Tåning, 1928;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus perspicillatus;Diap.pers;FISH;158890;Diaphus perspicillatus;(Ogilby, 1898);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus problematicus;Diap.prob;FISH;158891;Diaphus problematicus;Parr, 1928;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diaphus sp.;Diap.sp;FISH;125819;Diaphus;Eigenmann & Eigenmann, 1890;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Genus
Diaphus splendidus;Diap.sple;FISH;158893;Diaphus splendidus;(Brauer, 1904);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;Species
Diapterus auratus;Diap.aura;FISH;159726;Diapterus auratus;Ranzani, 1842;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Diapterus;Species
Diapterus rhombeus;Diap.rhom;FISH;276415;Diapterus rhombeus;(Cuvier, 1829);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Diapterus;Species
Diceratiidae sp.;Dice.sp;FISH;125489;Diceratiidae;Regan & Trewavas, 1932;Animalia;Chordata;Teleostei;Lophiiformes;Diceratiidae;NaN;Family
Dictyopteris delicatula;Dict.deli;MACROALGAE;145357;Dictyopteris delicatula;J.V.Lamouroux, 1809;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Species
Dictyopteris plagiogramma;Dict.plag;MACROALGAE;145359;Dictyopteris plagiogramma;(Montagne) Vickers, 1905;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Species
Dictyopteris polypodioides;Dict.poly;MACROALGAE;145360;Dictyopteris polypodioides;(A.P.De Candolle) J.V.Lamouroux, 1809;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Species
Dictyopteris pua;Dict.pua;MACROALGAE;144085;Dictyopteris;J.V.Lamouroux, 1809;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyopteris;Genus
Dictyota jamaicensis;Dict.jama;MACROALGAE;381192;Dictyota jamaicensis;W.R.Taylor, 1960;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyota;Species
Dictyota mertensii;Dict.mert;MACROALGAE;145376;Dictyota mertensii;(C.Martius) Kützing, 1859;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyota;Species
Dictyota sp.;Dictyota.sp;MACROALGAE;144086;Dictyota;J.V.Lamouroux, 1809;Chromista;Ochrophyta;Phaeophyceae;Dictyotales;Dictyotaceae;Dictyota;Genus
Dictyurus occidentalis;Dict.occi;MACROALGAE;213678;Dictyurus occidentalis;J.Agardh, 1847;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Dictyurus;Species
Diodon eydouxii;Diod.eydo;FISH;127401;Diodon eydouxii;Brisout de Barneville, 1846;Animalia;Chordata;Teleostei;Tetraodontiformes;Diodontidae;Diodon;Species
Diodon holocanthus;Diod.holo;FISH;127402;Diodon holocanthus;Linnaeus, 1758;Animalia;Chordata;Teleostei;Tetraodontiformes;Diodontidae;Diodon;Species
Diodon sp.;Diod.sp;FISH;126231;Diodon;Linnaeus, 1758;Animalia;Chordata;Teleostei;Tetraodontiformes;Diodontidae;Diodon;Genus
Diogenichthys atlanticus;Diog.atla;FISH;126599;Diogenichthys atlanticus;(Tåning, 1928);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Diogenichthys;Species
Diplectrum formosum;Dipl.form;FISH;159350;Diplectrum formosum;(Linnaeus, 1766);Animalia;Chordata;Teleostei;Perciformes;Serranidae;Diplectrum;Species
Diplophos australis;Dipl.aust;FISH;274947;Diplophos australis;Ozawa, Oda & Ida, 1990;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Diplophos;Species
Diplophos taenia;Dipl.taen;FISH;127292;Diplophos taenia;Günther, 1873;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Diplophos;Species
Diretmoides pauciradiatus;Dire.pauc;FISH;126397;Diretmoides pauciradiatus;(Woods, 1973);Animalia;Chordata;Teleostei;Trachichthyiformes;Diretmidae;Diretmoides;Species
Diretmus argenteus;Dire.arge;FISH;126398;Diretmus argenteus;Johnson, 1864;Animalia;Chordata;Teleostei;Trachichthyiformes;Diretmidae;Diretmus;Species
Discoteuthis discus;Disc.disc;MOLL;342234;Discoteuthis discus;R. E. Young & Roper, 1969;Animalia;Mollusca;Cephalopoda;Oegopsida;Cycloteuthidae;Discoteuthis;Species
Ditropichthys storeri;Ditr.stor;FISH;126407;Ditropichthys storeri;(Goode & Bean 1895);Animalia;Chordata;Teleostei;Beryciformes;Cetomimidae;Ditropichthys;Species
Dolicholagus longirostris;Doli.long;FISH;126720;Dolicholagus longirostris;(Maul, 1948);Animalia;Chordata;Teleostei;Argentiniformes;Bathylagidae;Dolicholagus;Species
Doliolida (bv);Tha.dol.bv;GELATINOUS;137212;Doliolida;Delage & Hérouard, 1898;Animalia;Chordata;Thaliacea;Doliolida;NaN;NaN;Order
Dolopichthys sp.;Dolo.sp;FISH;125807;Dolopichthys;Garman, 1899;Animalia;Chordata;Teleostei;Lophiiformes;Oneirodidae;Dolopichthys;Genus
Doryteuthis pleii;Dory.plei;MOLL;574543;Doryteuthis pleii;(Blainville, 1823);Animalia;Mollusca;Cephalopoda;Myopsida;Loliginidae;Doryteuthis;Species
Echeneis naucrates;Eche.nauc;FISH;126848;Echeneis naucrates;Linnaeus, 1758;Animalia;Chordata;Teleostei;Carangiformes;Echeneidae;Echeneis;Species
Ectreposebastes imus;Ectr.imus;FISH;159566;Ectreposebastes imus;Garman, 1899;Animalia;Chordata;Teleostei;Perciformes;Setarchidae;Ectreposebastes;Species
Electrona risso;Elec.riss;FISH;126600;Electrona risso;(Cocco, 1829);Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Electrona;Species
Enantiocladia duperreyi;Enan.dupe;MACROALGAE;373126;Enantiocladia duperreyi;(C.Agardh) Falkenberg, 1889;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Enantiocladia;Species
Enoploteuthidae sp.;Enop.sp;MOLL;11740;Enoploteuthidae;Pfeffer, 1900;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;NaN;Family
Enoploteuthis anapsis;Enop.anap;MOLL;342295;Enoploteuthis anapsis;Roper, 1964;Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Enoploteuthis;Species
Enoploteuthis leptura;Enop.lept;MOLL;342300;Enoploteuthis leptura;(Leach, 1817);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Enoploteuthis;Species
Ephyrina benedicti;Ephy.bene;CRUS;107585;Ephyrina benedicti;Smith, 1885;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Ephyrina;Species
Ephyrina ombango;Ephy.omba;CRUS;240811;Ephyrina ombango;Crosnier & Forest, 1973;Animalia;Arthropoda;Malacostraca;Decapoda;Acanthephyridae;Ephyrina;Species
Eucinostomus argenteus;Euci.arge;FISH;159732;Eucinostomus argenteus;Baird & Girard, 1855;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Eucinostomus;Species
Eucinostomus gula;Euci.gula;FISH;159733;Eucinostomus gula;(Quoy & Gaimard, 1824);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Gerreidae;Eucinostomus;Species
Eumecichthys fiski;Eume.fisk;FISH;217888;Eumecichthys fiski;(Günther, 1890);Animalia;Chordata;Teleostei;Lampriformes;Lophotidae;Eumecichthys;Species
Euphausia gibboides;Euph.gibb;CRUS;110684;Euphausia gibboides;Ortmann, 1893;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Species
Euphausia sp.;Euphausia.sp;CRUS;110673;Euphausia;Dana, 1850;Animalia;Arthropoda;Malacostraca;Euphausiacea;Euphausiidae;Euphausia;Genus
Eurypharynx pelecanoides;Eury.pele;FISH;127165;Eurypharynx pelecanoides;Vaillant, 1882;Animalia;Chordata;Teleostei;Saccopharyngiformes;Eurypharyngidae;Eurypharynx;Species
Eustomias bibulbosus;Eust.bibu;FISH;158850;Eustomias bibulbosus;Parr, 1927;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias braueri;Eust.brau;FISH;127341;Eustomias braueri;Zugmayer, 1911;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias brevibarbatus;Eust.brev;FISH;158852;Eustomias brevibarbatus;Parr, 1927;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias enbarbatus;Eust.enba;FISH;158854;Eustomias enbarbatus;Welsh, 1923;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias schmidti;Eust.schm;FISH;127348;Eustomias schmidti;Regan & Trewavas, 1930;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias sp.;Eust.sp;FISH;126208;Eustomias;Vaillant, 1888;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Genus
Eustomias ophioglossa;Eust.ophi;FISH;NaN;Eustomias ophioglossa;Villarins, Fischer, Prokofiev & Mincarone, 2023;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias antea;Eust.ante;FISH;NaN;Eustomias antea;Villarins, Fischer, Prokofiev & Mincarone, 2023;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias macrurus;Eust.macr;FISH;127346;Eustomias macrurus;Regan & Trewavas, 1930;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias bertrandi;Eust.bert;FISH;NaN;Eustomias bertrandi;Villarins, Fischer, Prokofiev & Mincarone, 2023;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias sp. nov. 5;Eust.sp.nov5;FISH;126208;Eustomias;Vaillant, 1888;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Genus
Eustomias cf minimus;Eust.mini;FISH;275117;Eustomias minimus;Clarke, 1999;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Eustomias lucenae;Eust.luce;FISH;NaN;Eustomias lucenae;Villarins, Fischer, Prokofiev & Mincarone, 2023;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Eustomias;Species
Euvola ziczac;Euvo.zicz;MOLL;394073;Euvola ziczac;(Linnaeus, 1758);Animalia;Mollusca;Bivalvia;Pectinida;Pectinidae;Euvola;Species
Excorallana oculata;Exco.ocul;CRUS;260372;Excorallana oculata;(Hansen, 1890);Animalia;Arthropoda;Malacostraca;Isopoda;Corallanidae;Excorallana;Species
Excorallana warmingii;Exco.warm;CRUS;260380;Excorallana warmingii;(Hansen, 1890);Animalia;Arthropoda;Malacostraca;Isopoda;Corallanidae;Excorallana;Species
Exocoetus volitans;Exoc.voli;FISH;126385;Exocoetus volitans;Linnaeus, 1758;Animalia;Chordata;Teleostei;Beloniformes;Exocoetidae;Exocoetus;Species
Facciolella sp.;Facc.sp;FISH;125640;Facciolella;Whitley, 1938;Animalia;Chordata;Teleostei;Anguilliformes;Nettastomatidae;Facciolella;Genus
Fish larvae;Fish.larv;FISH;NaN;NaN;NaN;Animalia;Chordata;NaN;NaN;NaN;NaN;NaN
Fistularia petimba;Fist.peti;FISH;159439;Fistularia petimba;Lacepède, 1803;Animalia;Chordata;Teleostei;Syngnathiformes;Fistulariidae;Fistularia;Species
Fistularia tabacaria;Fist.taba;FISH;159440;Fistularia tabacaria;Linnaeus, 1758;Animalia;Chordata;Teleostei;Syngnathiformes;Fistulariidae;Fistularia;Species
Fulvia laevigata;Laev.laev;MOLL;605734;Fulvia laevigata;(Linnaeus, 1758);Animalia;Mollusca;Bivalvia;Cardiida;Cardiidae;Laevicardium;Species
Funchalia danae;Func.dana;CRUS;107099;Funchalia danae;Burkenroad, 1940;Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;Funchalia;Species
Funchalia villosa;Func.vill;CRUS;107100;Funchalia villosa;(Bouvier, 1905);Animalia;Arthropoda;Malacostraca;Decapoda;Penaeidae;Funchalia;Species
Gaussia intermedia;Gaus.inte;CRUS;346498;Gaussia intermedia;Defaye, 1998;Animalia;Arthropoda;Copepoda;Calanoida;Metridinidae;Gaussia;Species
Gelatinous (bv);Gni.bv;GELATINOUS;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Gempylidae sp.;Gemp.sp;FISH;125536;Gempylidae;Gill, 1862;Animalia;Chordata;Teleostei;Scombriformes;Gempylidae;NaN;Family
Gempylus serpens;Gemp.serp;FISH;126862;Gempylus serpens;Cuvier, 1829;Animalia;Chordata;Teleostei;Scombriformes;Gempylidae;Gempylus;Species
Gennadas bouvieri;Genn.bouv;CRUS;240798;Gennadas bouvieri;Kemp, 1909;Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Gennadas;Species
Gennadas capensis;Genn.cape;CRUS;107094;Gennadas capensis;Calman, 1925;Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Gennadas;Species
Gennadas scutatus;Genn.scut;CRUS;107096;Gennadas scutatus;Bouvier, 1906;Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Gennadas;Species
Gennadas talismani;Genn.tali;CRUS;240799;Gennadas talismani;Bouvier, 1906;Animalia;Arthropoda;Malacostraca;Decapoda;Benthesicymidae;Gennadas;Species
Geodia sp.;Geod.sp;SPONGES;132005;Geodia;Lamarck, 1815;Animalia;Porifera;Demospongiae;Tetractinellida;Geodiidae;Geodia;Genus
Geodia sp. 2;Geod.sp2;SPONGES;132005;Geodia;Lamarck, 1815;Animalia;Porifera;Demospongiae;Tetractinellida;Geodiidae;Geodia;Genus
Geodia sp. nov. 1;Geod.sp.nov1;SPONGES;132005;Geodia;Lamarck, 1815;Animalia;Porifera;Demospongiae;Tetractinellida;Geodiidae;Geodia;Genus
Geodia sp. nov. 2;Geod.sp.nov2;SPONGES;132005;Geodia;Lamarck, 1815;Animalia;Porifera;Demospongiae;Tetractinellida;Geodiidae;Geodia;Genus
Gigantactis sp.;Giga.sp;FISH;125798;Gigantactis;Brauer, 1902;Animalia;Chordata;Teleostei;Lophiiformes;Gigantactinidae;Gigantactis;Genus
Gigantactis watermani;Giga.wate;FISH;272571;Gigantactis watermani;Bertelsen, Pietsch & Lavenberg, 1981;Animalia;Chordata;Teleostei;Lophiiformes;Gigantactinidae;Gigantactis;Species
Gigantura chuni;Giga.chun;FISH;275830;Gigantura chuni;Brauer, 1901;Animalia;Chordata;Teleostei;Aulopiformes;Giganturidae;Gigantura;Species
Gigantura indica;Giga.indi;FISH;158858;Gigantura indica;Brauer, 1901;Animalia;Chordata;Teleostei;Aulopiformes;Giganturidae;Gigantura;Species
Globivenus rigida;Glob.rigi;MOLL;420937;Globivenus rigida;(Dillwyn, 1817);Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Globivenus;Species
Glycymeris undata;Glyc.unda;MOLL;420730;Glycymeris undata;(Linnaeus, 1758);Animalia;Mollusca;Bivalvia;Arcida;Glycymerididae;Glycymeris;Species
Gnathophis sp.;Gnat.sp;FISH;125625;Gnathophis;Kaup, 1859;Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Gnathophis;Genus
Gonichthys sp.;Goni.sp;FISH;125822;Gonichthys;Gistel, 1850;Animalia;Chordata;Teleostei;Myctophiformes;Myctophidae;Gonichthys;Genus
Gonodactyloidea sp.;Gonodactyloidea.sp;CRUS;155825;Gonodactyloidea;Giesbrecht, 1910;Animalia;Arthropoda;Malacostraca;Stomatopoda;NaN;NaN;Superfamily
Gonostoma atlanticum;Gono.atla;FISH;127293;Gonostoma atlanticum;Norman, 1930;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Gonostoma;Species
Gonostoma denudatum;Gono.denu;FISH;127295;Gonostoma denudatum;Rafinesque, 1810;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Gonostoma;Species
Gonostoma sp.;Gonostoma.sp;FISH;126189;Gonostoma;Rafinesque, 1810;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Gonostoma;Genus
Gonostomatidae sp.;Gonostomatidae.sp;FISH;125601;Gonostomatidae;Cocco, 1838;Animalia;Chordata;Teleostei;Stomiiformes;Gonostomatidae;NaN;Family
Gorgasia inferomaculata;Gorg.infe;FISH;277878;Gorgasia inferomaculata;(Blache, 1977);Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Gorgasia;Species
Gorgasia sp.;Gorg.sp;FISH;204975;Gorgasia;Meek & Hildebrand, 1923;Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Gorgasia;Genus
Grammatostomias ovatus;Gram.ovat;FISH;835210;Grammatostomias ovatus;Prokofiev, 2014;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Grammatostomias;Species
Grammatostomias dentatus;Gram.dent;FISH;158731;Grammatostomias dentatus;Goode & Bean, 1896;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Grammatostomias;Species
Gymnothorax moringa;Gymn.mori;FISH;158584;Gymnothorax moringa;(Cuvier, 1829);Animalia;Chordata;Teleostei;Anguilliformes;Muraenidae;Gymnothorax;Species
Gymnothorax sp.;Gymn.sp;FISH;125636;Gymnothorax;Bloch, 1795;Animalia;Chordata;Teleostei;Anguilliformes;Muraenidae;Gymnothorax;Genus
Gymnothorax vicinus;Gymn.vici;FISH;126302;Gymnothorax vicinus;(Castelnau, 1855);Animalia;Chordata;Teleostei;Anguilliformes;Muraenidae;Gymnothorax;Species
Gyrinomimus bruuni;Gyri.bruu;FISH;221399;Gyrinomimus bruuni;Rofen 1959;Animalia;Chordata;Teleostei;Beryciformes;Cetomimidae;Gyrinomimus;Species
Haemulon aurolineatum;Haem.auro;FISH;158807;Haemulon aurolineatum;Cuvier, 1830;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulon melanurum;Haem.mela;FISH;275730;Haemulon melanurum;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulon parra;Haem.parr;FISH;275731;Haemulon parra;(Desmarest, 1823);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulon plumierii;Haem.plum;FISH;158808;Haemulon plumierii;(Lacepède, 1801);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulon squamipinna;Haem.squa;FISH;275737;Haemulon squamipinna;Rocha & Rosa, 1999;Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulon steindachneri;Haem.stei;FISH;275738;Haemulon steindachneri;(Jordan & Gilbert, 1882);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulon;Species
Haemulopsis corvinaeformis;Haem.corv;FISH;1020759;Haemulopsis corvinaeformis;(Steindachner, 1868);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Haemulopsis;Species
Halichoeres dimidiatus;Hali.dimi;FISH;275761;Halichoeres dimidiatus;(Agassiz, 1831);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Halichoeres;Species
Halichoeres poeyi;Hali.poey;FISH;275790;Halichoeres poeyi;(Steindachner, 1867);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Halichoeres;Species
Halimeda sp.;Hali.sp;MACROALGAE;143820;Halimeda;J.V.Lamouroux, 1812;Plantae;Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;Genus
Halimeda sp. 1;Hali.sp1;MACROALGAE;143820;Halimeda;J.V.Lamouroux, 1812;Plantae;Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;Genus
Halimeda sp. 2;Hali.sp2;MACROALGAE;143820;Halimeda;J.V.Lamouroux, 1812;Plantae;Chlorophyta;Ulvophyceae;Bryopsidales;Halimedaceae;Halimeda;Genus
Halophila decipiens;Halo.deci;MACROALGAE;145713;Halophila decipiens;Ostenfeld, 1902;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Hydrocharitaceae;Halophila;Species
Halopithys schottii;Halo.scho;MACROALGAE;376635;Halopithys schottii;(W.R.Taylor) L.E.Phillips & De Clerck, 2005;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Halopithys;Species
Haloplegma duperreyi;Halo.dupe;MACROALGAE;214429;Haloplegma duperreyi;Montagne, 1842;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Ceramiaceae;Haloplegma;Species
Hemicaranx amblyrhynchus;Hemi.ambl;FISH;159640;Hemicaranx amblyrhynchus;(Cuvier, 1833);Animalia;Chordata;Teleostei;Carangiformes;Carangidae;Hemicaranx;Species
Hemiramphus balao;Hemi.bala;FISH;159278;Hemiramphus balao;Lesueur, 1821;Animalia;Chordata;Teleostei;Beloniformes;Hemiramphidae;Hemiramphus;Species
Herposiphonia tenella;Herp.tene;MACROALGAE;214219;Herposiphonia tenella;(C.Agardh) Ambronn, 1880;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Rhodomelaceae;Herposiphonia;Species
Heterocarpus sp.;Heterocarpus.sp;CRUS;107042;Heterocarpus;A. Milne-Edwards, 1881;Animalia;Arthropoda;Malacostraca;Decapoda;Pandalidae;Heterocarpus;Genus
Heteroconger longissimus;Hete.hali;FISH;126288;Heteroconger longissimus;Günther, 1870;Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Heteroconger;Species
Heteroconger luteolus;Hete.lute;FISH;158568;Heteroconger luteolus;Smith, 1989;Animalia;Chordata;Teleostei;Anguilliformes;Congridae;Heteroconger;Species
Heterophotus ophistoma;Hete.ophi;FISH;158733;Heterophotus ophistoma;Regan & Trewavas, 1929;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Heterophotus;Species
Heteropriacanthus cruentatus;Hete.crue;FISH;127004;Heteropriacanthus cruentatus;(Lacepède, 1801);Animalia;Chordata;Teleostei;Eupercaria incertae sedis;Priacanthidae;Heteropriacanthus;Species
Heterosiphonia crispella;Hete.cris;MACROALGAE;144731;Heterosiphonia crispella;(C.Agardh) M.J.Wynne, 1985;Plantae;Rhodophyta;Florideophyceae;Ceramiales;Dasyaceae;Heterosiphonia;Species
Himantolophus sp.;Hima.sp;FISH;125799;Himantolophus;Reinhardt, 1837;Animalia;Chordata;Teleostei;Lophiiformes;Himantolophidae;Himantolophus;Genus
Histioteuthis corona;Hist.coro;MOLL;140112;Histioteuthis corona;(N. A. Voss & G. L. Voss, 1962);Animalia;Mollusca;Cephalopoda;Oegopsida;Histioteuthidae;Histioteuthis;Species
Histioteuthis macrohista;Hist.macr;MOLL;341870;Histioteuthis macrohista;Voss, 1969;Animalia;Mollusca;Cephalopoda;Oegopsida;Histioteuthidae;Histioteuthis;Species
Histioteuthis sp.;Hist.sp;MOLL;138074;Histioteuthis;d'Orbigny, 1841;Animalia;Mollusca;Cephalopoda;Oegopsida;Histioteuthidae;Histioteuthis;Genus
Holacanthus ciliaris;Hola.cili;FISH;276012;Holacanthus ciliaris;(Linnaeus, 1758);Animalia;Chordata;Teleostei;Acanthuriformes;Pomacanthidae;Holacanthus;Species
Holacanthus tricolor;Hola.tric;FISH;276017;Holacanthus tricolor;(Bloch, 1795);Animalia;Chordata;Teleostei;Acanthuriformes;Pomacanthidae;Holacanthus;Species
Holocentrus adscensionis;Holo.adsc;FISH;159378;Holocentrus adscensionis;(Osbeck, 1765);Animalia;Chordata;Teleostei;Holocentriformes;Holocentridae;Holocentrus;Species
Holophryxus acanthephyrae;Holo.acan;CRUS;257528;Holophryxus acanthephyrae;Stephensen, 1912;Animalia;Arthropoda;Malacostraca;Isopoda;Dajidae;Holophryxus;Species
Holthuisaeus bermudensis;Holt.berm;CRUS;587907;Holthuisaeus bermudensis;(Armstrong, 1940);Animalia;Arthropoda;Malacostraca;Decapoda;Palaemonidae;Holthuisaeus;Species
Howella atlantica;Howe.atla;FISH;1011297;Howella atlantica;Post & Quéro, 1991;Animalia;Chordata;Teleostei;Acropomatiformes;Howellidae;Howella;Species
Hyattella cavernosa;Hyat.cave;SPONGES;165122;Hyattella cavernosa;(Pallas, 1766);Animalia;Porifera;Demospongiae;Dictyoceratida;Spongiidae;Hyattella;Species
Hydrozoa (bv);Cnida.bv;GELATINOUS;1337;Hydrozoa;Owen, 1843;Animalia;Cnidaria;Hydrozoa;NaN;NaN;NaN;Class
