Species;Code_Species;Compartment;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Aulotrachichthys argyrophanus;Aulo.argy;FISH;313816;Aulotrachichthys argyrophanus;(Woods, 1961);Animalia;Chordata;Teleostei;Trachichthyiformes;Trachichthyidae;Aulotrachichthys;Species
Avocettina infans;Avoc.infa;FISH;126304;Avocettina infans;(Günther, 1878);Animalia;Chordata;Teleostei;Anguilliformes;Nemichthyidae;Avocettina;Species
Avrainvillea sp.;Avra.sp;MACROALGAE;143819;Avrainvillea;Decaisne, 1842;Plantae;Chlorophyta;Ulvophyceae;Bryopsidales;Dichotomosiphonaceae;Avrainvillea;Genus
Avrainvillea spp.;Avra.spp;MACROALGAE;143819;Avrainvillea;Decaisne, 1842;Plantae;Chlorophyta;Ulvophyceae;Bryopsidales;Dichotomosiphonaceae;Avrainvillea;Genus
Bagre marinus;Bagr.mari;FISH;158713;Bagre marinus;(Mitchill, 1815);Animalia;Chordata;Teleostei;Siluriformes;Ariidae;Bagre;Species
Baldwinella aureorubens;Bald.aure;FISH;1015364;Baldwinella aureorubens;(Longley, 1935);Animalia;Chordata;Teleostei;Perciformes;Serranidae;Baldwinella;Species
Balistes capriscus;Bali.capr;FISH;154721;Balistes capriscus;Gmelin, 1789;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;Balistes;Species
Balistes sp.;Bali.sp;FISH;126228;Balistes;Linnaeus, 1758;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;Balistes;Genus
Balistes vetula;Bali.vetu;FISH;127397;Balistes vetula;Linnaeus, 1758;Animalia;Chordata;Teleostei;Tetraodontiformes;Balistidae;Balistes;Species
Bathophilus nigerrimus;Bath.nige;FISH;127331;Bathophilus nigerrimus;Giglioli, 1882;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Bathophilus;Species
Bathophilus pawneei;Bath.pawn;FISH;127332;Bathophilus pawneei;Parr, 1927;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Bathophilus;Species
Bathophilus sp.;Bath.sp;FISH;126203;Bathophilus;Giglioli, 1882;Animalia;Chordata;Teleostei;Stomiiformes;Stomiidae;Bathophilus;Genus
Bathygadus sp.;Bathygadus.sp;FISH;125745;Bathygadus;Günther, 1878;Animalia;Chordata;Teleostei;Gadiformes;Macrouridae;Bathygadus;Genus
